State,County,City,Name,RegionID,lon,lat
CA,Los Angeles,Torrance,Windsong,416340,-118.34112392718636,33.828636970742
CA,Los Angeles,Long Beach,Terminal Island,416859,-118.2323433237055,33.754962957179664
CA,Los Angeles,San Marino,Huntington Library,623346,-118.11433095208547,34.12838223638751
CA,Los Angeles,San Marino,Lacy Estates,623380,-118.12422036633396,34.12297215874968
CA,Los Angeles,San Marino,Lower Huntington,623381,-118.1158976469222,34.11421628926268
CA,Los Angeles,San Marino,Mission District,623382,-118.13461048925444,34.11339338832255
CA,Los Angeles,Claremont,Padua Hills,761060,-117.70384933069911,34.14409783834134
CA,Los Angeles,Claremont,Northeast Claremont,761107,-117.700679805098,34.13385695626117
CA,Los Angeles,Claremont,North Claremont,761108,-117.71419063309563,34.125062583979144
CA,Los Angeles,Claremont,Claraboya,761109,-117.72986974895802,34.13221744817033
CA,Los Angeles,Claremont,Thompson Creek,761111,-117.73239234117001,34.12524084120189
CA,Los Angeles,Agoura Hills,Lake Lindero,761258,-118.78795026351554,34.15460805708949
CA,Los Angeles,La Verne,Northwest La Verne,762113,-117.7809045553766,34.1273776736146
CA,Los Angeles,Claremont,University Terrace,762129,-117.70357487826539,34.11099866994583
CA,Los Angeles,La Verne,Foxglen,762230,-117.7889508216072,34.12524783097225
CA,Los Angeles,Torrance,Park Plaza,416342,-118.33533656707564,33.82824453550053
CA,Los Angeles,Torrance,Chatelaine,416344,-118.33867513490675,33.82558126996116
CA,Los Angeles,Long Beach,Peninsula,416860,-118.1236063003342,33.74700746616759
CA,Los Angeles,Calabasas,Greater Mulwood,762347,-118.62116931259695,34.14177756261968
CA,Los Angeles,San Marino,Upper East Side,623377,-118.09880942685639,34.12956094260322
CA,Los Angeles,San Marino,Library District,623379,-118.11309430386757,34.12153516298145
CA,Los Angeles,West Hollywood,Norma Triangle,763063,-118.38786862787424,34.084706731208506
CA,Los Angeles,West Hollywood,West Hollywood North,763064,-118.3797229924279,34.08915575472918
CA,Los Angeles,West Hollywood,SoFo,763065,-118.3571836803588,34.09262759792237
CA,Los Angeles,West Hollywood,Tri-West,763066,-118.37890275694393,34.08503073151757
CA,Los Angeles,Culver City,Blair Hills,763079,-118.38104842422364,34.015726972001886
CA,Los Angeles,Los Angeles,Adams-Normandie,757352,-118.300248619247,34.03275741009548
CA,Los Angeles,Agoura Hills,Morrison Ranch,761062,-118.7788988402647,34.16031750037503
CA,Los Angeles,Agoura Hills,Downtown,761064,-118.75827861922774,34.155532750520706
CA,Los Angeles,Claremont,Chanteclair,761103,-117.70023915042815,34.14495092092134
CA,Los Angeles,Claremont,Belage,761105,-117.69663189713178,34.14654170183958
CA,Los Angeles,Claremont,Webb School,761112,-117.73921549127512,34.12486748796446
CA,Los Angeles,Claremont,Towne Ranch,761114,-117.72464912392238,34.110691884187865
CA,Los Angeles,Malibu,Malibu Park,761130,-118.82606230056278,34.02712242564997
CA,Los Angeles,Agoura Hills,East Agoura,761253,-118.74843247411361,34.147140607940806
CA,Los Angeles,Agoura Hills,Whizin's Row,761255,-118.76428450846039,34.14362063583752
CA,Los Angeles,Agoura Hills,Reyes Adobe,761257,-118.78346951416026,34.151262836370194
CA,Los Angeles,Hawthorne,North West Hawthorne,761682,-118.36514941251329,33.92300386848977
CA,Los Angeles,Hawthorne,Moneta Gardens,761966,-118.33521840882166,33.90915269519767
CA,Los Angeles,La Verne,North La Verne Hillside,762114,-117.76350147185481,34.14936975959398
CA,Los Angeles,La Verne,Foothill Boulevard Corridor,762116,-117.76603931889576,34.11647653167582
CA,Los Angeles,Claremont,Piedmont Mesa,764301,-117.74636041810216,34.11743829361732
CA,Los Angeles,Claremont,Claremont South,764302,-117.71865497440729,34.08067770881857
CA,Los Angeles,Calabasas,The Oaks,762348,-118.6757897742301,34.13560714758138
CA,Los Angeles,El Monte,Downtown,762602,-118.03617380292246,34.07019473619086
CA,Los Angeles,Calabasas,Calabasas Park,762836,-118.63965833771145,34.148227482926835
CA,Los Angeles,Culver City,Downtown,763068,-118.39561294859477,34.02310078884017
CA,Los Angeles,Culver City,Studio Village,763070,-118.39725175249842,34.00199928021214
CA,Los Angeles,Culver City,Park West,763075,-118.40407150551087,34.00610810593239
CA,Los Angeles,Culver City,Washington Culver,763077,-118.4050108875851,34.01538212235991
